evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
177,0.5,100,zstd,latest,mean,72.16348190307617,71.652,72.793,0.476,37706.01020558384,37370.08,38003.06,255.18,1125.95
178,1.0,100,zstd,latest,mean,71.85541644096375,71.465,72.185,0.277,37902.10278767197,37750.32,38094.67,143.98,1132.27
179,2.0,100,zstd,latest,mean,71.68477082252502,71.375,72.15,0.297,37967.512834131274,37718.06,38142.35,168.78,1138.58
180,4.0,100,zstd,latest,mean,71.82444252967835,71.511,72.122,0.231,37887.126555783536,37726.95,38045.98,119.75,1144.9
181,6.0,100,zstd,latest,mean,72.152308511734,71.645,72.639,0.319,37707.23525888987,37431.83,37982.2,178.43,1151.25
182,8.0,100,zstd,latest,mean,71.67054147720337,70.962,72.163,0.41,37986.31385481312,37699.17,38380.23,232.04,1157.55
183,0.25,500,zstd,latest,mean,72.23971643447877,71.825,72.741,0.308,37652.01048473334,37390.28,37886.08,167.25,1163.91
184,0.5,500,zstd,latest,mean,71.78538665771484,71.505,72.108,0.208,37906.80455196713,37752.54,38062.95,108.28,1170.22
185,1.0,500,zstd,latest,mean,71.85027270317077,71.353,72.093,0.262,37869.8235479934,37706.39,38171.35,160.04,1176.54
186,2.0,500,zstd,latest,mean,71.86383938789368,71.439,72.352,0.292,37872.12076735743,37617.19,38098.64,152.85,1182.86
187,4.0,500,zstd,latest,mean,71.9079339504242,71.635,72.298,0.251,37839.009642618206,37626.59,38005.31,141.86,1189.19
188,6.0,500,zstd,latest,mean,71.90026960372924,71.466,72.141,0.239,37843.063901815316,37720.84,38078.24,130.38,1195.51
189,8.0,500,zstd,latest,mean,72.33417024612427,72.002,72.654,0.22,37617.7108086784,37429.64,37793.79,124.77,1201.88
